City,Place,PLace_Ratings,City_Ratings,Best_time_to_visit,Budget
Lakshadweep, 9. Kadmat ,3.6,4.0,October to March,5000 - 8000
Lakshadweep, 10. City Shopping ,3.0,4.0,October to March,5000 - 8000
Lakshadweep, 11. Amindivi Islands ,3.3,4.0,October to March,5000 - 8000
Lakshadweep, 12. Andretti Island ,3.3,4.0,October to March,5000 - 8000
Lakshadweep," 13. Lighthouse, Minicoy Island ",3.3,4.0,October to March,5000 - 8000
Goa, 1. Fun time in Calangute Beach ,4.4,4.5,November to February,3500 - 7000
Goa, 2. Fort Aguada ,4.4,4.5,November to February,3500 - 7000
Goa, 3. Dine on a Cruise ,4.3,4.5,November to February,3500 - 7000
Goa, 4. Water Sports in Goa ,4.4,4.5,November to February,3500 - 7000
Goa, 5. Behold to Dudhsagar Waterfalls ,4.3,4.5,November to February,3500 - 7000
Goa, 6. Adventures of Anjuna Beach ,4.4,4.5,November to February,3500 - 7000
Goa, 7. Chapora Fort ,3.7,4.5,November to February,3500 - 7000
Goa, 9. Basilica of Bom Jesus ,4.3,4.5,November to February,3500 - 7000
Goa, 10. Go Clubbing by the Baga Beach ,4.5,4.5,November to February,3500 - 7000
Goa, 11. Butterfly Beach ,3.9,4.5,November to February,3500 - 7000
Goa, 13. Scuba Diving in Goa ,4.3,4.5,November to February,3500 - 7000
Goa, 14. Go Shopping in Goa ,3.7,4.5,November to February,3500 - 7000
Goa, 15. Explore Dona Paula ,4.4,4.5,November to February,3500 - 7000
Goa, 16. Arambol Beach ,4.4,4.5,November to February,3500 - 7000
Goa, 17. Vagator Beach ,4.3,4.5,November to February,3500 - 7000
Goa, 19. Church of Our Lady of the Immaculate Conception ,3.7,4.5,November to February,3500 - 7000
Goa," 20. Party at the Tito's, Calangute ",3.5,4.5,November to February,3500 - 7000
Goa," 22. Mambos, Calangute ",3.7,4.5,November to February,3500 - 7000
Goa," 23. Club LPK - Love Passion Karma, Candolim ",3.7,4.5,November to February,3500 - 7000
Goa, 25. Relax at the Palolem beach ,4.4,4.5,November to February,3500 - 7000
Goa, 27. Rejuvenate by Spas and Massages ,3.7,4.5,November to February,3500 - 7000
Goa, 28. Colva Beach ,4.4,4.5,November to February,3500 - 7000
Goa, 29. Morjim Beach ,4.3,4.5,November to February,3500 - 7000
Goa, 30. Casino ,3.6,4.5,November to February,3500 - 7000
Goa, 31. Agonda Beach ,4.4,4.5,November to February,3500 - 7000
Goa, 33. Se Cathedral ,3.3,4.5,November to February,3500 - 7000
Goa, 34. Cavelossim Beach ,3.0,4.5,November to February,3500 - 7000
Goa, 35. Patnem Beach ,3.9,4.5,November to February,3500 - 7000
Goa, 37. Fort Tiracol ,3.0,4.5,November to February,3500 - 7000
Goa, 42. Sunburn Festival ,3.0,4.5,November to February,3500 - 7000
Goa, 44. Church of St. Cajetan ,3.4,4.5,November to February,3500 - 7000
Goa, 45. Bambolim Beach ,3.4,4.5,November to February,3500 - 7000
Goa, 48. Church of St Francis of Assisi ,3.4,4.5,November to February,3500 - 7000
Goa, 49. Cabo de Rama Beach ,3.4,4.5,November to February,3500 - 7000
Goa, 52. Ashwem Beach ,3.0,4.5,November to February,3500 - 7000
Udaipur, 1. City Palace ,4.5,4.3,October to March,2500 - 5000
Udaipur, 2. Sunset Cruising over Lake Pichola ,4.6,4.3,October to March,2500 - 5000
Udaipur, 3. Sajjangarh Palace ,4.4,4.3,October to March,2500 - 5000
Udaipur, 5. Jag Mandir palace ,4.3,4.3,October to March,2500 - 5000
Udaipur, 6. Eklingji Temple ,4.4,4.3,October to March,2500 - 5000
Udaipur, 8. Jagdish Temple ,4.4,4.3,October to March,2500 - 5000
Udaipur, 9. Boating over Fateh Sagar Lake ,4.4,4.3,October to March,2500 - 5000
Udaipur, 10. Saheliyon Ki Bari ,4.2,4.3,October to March,2500 - 5000
Udaipur, 12. Admire the nature in Gulabh Bagh and Zoo ,3.3,4.3,October to March,2500 - 5000
Udaipur, 13. View the Sunset at Jaisamand Lake ,3.9,4.3,October to March,2500 - 5000
Udaipur, 15. Sukhadia Circle ,3.4,4.3,October to March,2500 - 5000
Udaipur, 16. Vintage Car Museum ,3.6,4.3,October to March,2500 - 5000
Udaipur, 17. Bharatiya Lok Kala Museum ,3.4,4.3,October to March,2500 - 5000
Udaipur, 18. Shilp Gram ,3.4,4.3,October to March,2500 - 5000
Udaipur, 20. Doodh Talai Musical Garden ,3.4,4.3,October to March,2500 - 5000
Udaipur, 26. Maharana Pratap Smarak ,3.4,4.3,October to March,2500 - 5000
Udaipur, 29. Nehru Garden ,3.4,4.3,October to March,2500 - 5000
Udaipur, 37. Bada Mahal ,3.4,4.3,October to March,2500 - 5000
Udaipur, 38. Haldighaati ,3.3,4.3,October to March,2500 - 5000
Srinagar, 1. Dal Lake ,4.4,4.5,April to October,3500 - 6000
Srinagar, 2. Shalimar Bagh ,4.3,4.5,April to October,3500 - 6000
Srinagar, 3. Shikara Ride ,4.6,4.5,April to October,3500 - 6000
Srinagar, 4. Shankaracharya Temple ,3.8,4.5,April to October,3500 - 6000
Srinagar, 5. Indira Gandhi Memorial Tulip Garden ,4.3,4.5,April to October,3500 - 6000
Srinagar, 7. Nishat Bagh ,4.3,4.5,April to October,3500 - 6000
Srinagar, 8. Nigeen Lake ,4.3,4.5,April to October,3500 - 6000
Srinagar, 10. Chashm-E-Shahi ,4.3,4.5,April to October,3500 - 6000
Srinagar, 11. Pari Mahal ,3.3,4.5,April to October,3500 - 6000
Srinagar, 12. Hazratbal Shrine ,4.3,4.5,April to October,3500 - 6000
Srinagar, 15. Char Chinar ,3.3,4.5,April to October,3500 - 6000
Srinagar, 17. Yusmarg ,4.2,4.5,April to October,3500 - 6000
Srinagar, 20. Jamia Masjid ,3.3,4.5,April to October,3500 - 6000
Srinagar, 23. Challi Point ,3.3,4.5,April to October,3500 - 6000
Srinagar, 24. Nehru Garden ,3.3,4.5,April to October,3500 - 6000
Srinagar, 27. Tarsar Marsar Trek ,3.5,4.5,April to October,3500 - 6000
Srinagar, 29. Dachigam National Park ,3.3,4.5,April to October,3500 - 6000
Srinagar, 31. City Shopping ,3.0,4.5,April to October,3500 - 6000
Srinagar, 35. Wular Lake ,4.6,4.5,April to October,3500 - 6000
Srinagar, 36. Baramulla ,4.2,4.5,April to October,3500 - 6000
Srinagar, 37. Chinar Park ,3.4,4.5,April to October,3500 - 6000
Srinagar, 38. Khanqah of Shah Hamdan ,3.3,4.5,April to October,3500 - 6000
Srinagar, 39. Anantnag ,3.3,4.5,April to October,3500 - 6000
Gangtok, 1. Nathu La Pass ,4.2,4.4,"March to June, September to November",3500 - 5500
Gangtok, 2. MG Road ,4.3,4.4,"March to June, September to November",3500 - 5500
Gangtok, 3. Rumtek Monastery ,4.4,4.4,"March to June, September to November",3500 - 5500
Gangtok, 4. Tsomgo Lake ,3.6,4.4,"March to June, September to November",3500 - 5500
Gangtok, 5. Ganesh Tok ,3.6,4.4,"March to June, September to November",3500 - 5500
Gangtok, 6. Namgyal Institute of Tibetology ,4.3,4.4,"March to June, September to November",3500 - 5500
Gangtok, 7. Kanchenjunga ,3.7,4.4,"March to June, September to November",3500 - 5500
Gangtok, 9. Mangan ,3.5,4.4,"March to June, September to November",3500 - 5500
Gangtok, 14. Tinkitam ,3.5,4.4,"March to June, September to November",3500 - 5500
Gangtok, 16. Do Drul Chorten ,3.3,4.4,"March to June, September to November",3500 - 5500
Munnar, 2. Atukkad Waterfalls ,3.7,4.5,October to March,2500 - 4500
Munnar, 3. Soak the vibe of Rose Garden ,3.8,4.5,October to March,2500 - 4500
Munnar, 4. Tata Tea or KDHP Museum ,4.0,4.5,October to March,2500 - 4500
Munnar, 5. Sunset at Pothamedu View Point ,3.9,4.5,October to March,2500 - 4500
Munnar, 6. Picnc at Mattupetti Dam ,3.7,4.5,October to March,2500 - 4500
Munnar, 9. Witness the Neelakurinji Blooming Spectacle at Top Station ,4.5,4.5,October to March,2500 - 4500
Munnar, 10. Pose at the Photo Point ,4.4,4.5,October to March,2500 - 4500
Munnar, 11. Eravikulam (Rajamalai) National Park ,4.6,4.5,October to March,2500 - 4500
Munnar, 14. Meet the Wildlife at Anamudi Peak inside Eravikulam National Park ,4.3,4.5,October to March,2500 - 4500
Munnar, 15. Kundala Dam & Lake ,4.0,4.5,October to March,2500 - 4500
Munnar, 17. Shout out at the Echo Point ,4.5,4.5,October to March,2500 - 4500
Munnar, 20. Wet your Toes by the Cheeyappara Waterfalls ,3.4,4.5,October to March,2500 - 4500
Munnar, 21. Trek & Camp in Chinnar Wildlife Sanctuary ,4.3,4.5,October to March,2500 - 4500
Munnar, 22. Marayoor ,4.3,4.5,October to March,2500 - 4500
Munnar, 25. Lakkom Water Falls ,3.4,4.5,October to March,2500 - 4500
Munnar, 26. Spend an evening at the Blossom Park ,3.7,4.5,October to March,2500 - 4500
Munnar, 28. Trekking ,3.6,4.5,October to March,2500 - 4500
Munnar, 29. Chinnakanal Waterfalls ,3.6,4.5,October to March,2500 - 4500
Munnar, 33. Chithirapuram ,3.4,4.5,October to March,2500 - 4500
Munnar, 34. Bird Watching at Salim Ali Bird Sanctuary ,3.4,4.5,October to March,2500 - 4500
Munnar, 40. Wait and Watch at the Elephant Arrival Spot ,3.7,4.5,October to March,2500 - 4500
Munnar, 41. Rock Climbing and Rappelling ,3.4,4.5,October to March,2500 - 4500
Munnar, 42. High Range Club ,3.4,4.5,October to March,2500 - 4500
Munnar, 43. Mattupetti Indo-Swiss Farm ,3.4,4.5,October to March,2500 - 4500
Munnar, 44. Floriculture Centre ,3.4,4.5,October to March,2500 - 4500
Munnar, 45. Valara Falls ,3.4,4.5,October to March,2500 - 4500
Varkala, 1. Water Sports in Varkala ,4.0,4.5,September to March,2000 - 4000
Varkala, 2. Varkala Beach ,4.4,4.5,September to March,2000 - 4000
Varkala, 3. Edava Beach ,3.2,4.5,September to March,2000 - 4000
Varkala, 5. Thiruvambadi Beach ,3.2,4.5,September to March,2000 - 4000
Varkala, 6. Anjengo Fort ,3.2,4.5,September to March,2000 - 4000
Varkala, 7. Sivagiri Mutt ,3.3,4.5,September to March,2000 - 4000
Varkala, 8. Ponnumthuruthu ,3.2,4.5,September to March,2000 - 4000
Varkala, 9. Janardhanaswamy Temple ,3.2,4.5,September to March,2000 - 4000
Varkala, 11. Vishnu Temple ,3.2,4.5,September to March,2000 - 4000
Mcleodganj, 1. Bhagsu Falls ,4.7,4.4,"March to June, September to November",2500 - 4500
Mcleodganj, 2. Namgyal Monastery ,4.6,4.4,"March to June, September to November",2500 - 4500
Mcleodganj, 3. Bhagsunath Temple ,4.4,4.4,"March to June, September to November",2500 - 4500
Mcleodganj, 4. Triund ,3.8,4.4,"March to June, September to November",2500 - 4500
Mcleodganj, 6. Dal Lake ,4.2,4.4,"March to June, September to November",2500 - 4500
Mcleodganj, 8. Trekking ,3.9,4.4,"March to June, September to November",2500 - 4500
Mcleodganj, 10. Norbulingka Institute ,3.9,4.4,"March to June, September to November",2500 - 4500
Mcleodganj, 14. Naam Art Gallery ,3.4,4.4,"March to June, September to November",2500 - 4500
Mcleodganj, 15. Tibetan Museum ,3.7,4.4,"March to June, September to November",2500 - 4500
Mcleodganj, 17. Church of St. Johns in the wilderness ,3.9,4.4,"March to June, September to November",2500 - 4500
Mcleodganj, 18. Minkiani Pass ,3.4,4.4,"March to June, September to November",2500 - 4500
Mcleodganj, 20. City Shopping ,3.7,4.4,"March to June, September to November",2500 - 4500
Mcleodganj," 22. Kangra Fort, Kangra ",3.4,4.4,"March to June, September to November",2500 - 4500
Mcleodganj," 32. Kareri Lake, Kangra ",3.4,4.4,"March to June, September to November",2500 - 4500
Mcleodganj," 35. Baglamukhi Temple, Kangra ",3.8,4.4,"March to June, September to November",2500 - 4500
Mcleodganj," 36. Bajreshwari Temple, Kangra ",3.3,4.4,"March to June, September to November",2500 - 4500
Mcleodganj," 37. Kangra Art Museum, Kangra ",3.4,4.4,"March to June, September to November",2500 - 4500
Mcleodganj," 38. Kaleshwar Mahadev Temple, Kangra ",3.3,4.4,"March to June, September to November",2500 - 4500
Rishikesh, 1. Rafting in Rishikesh ,4.0,4.3,September to November,2000 - 4000
Rishikesh, 2. Take a Walk over the Lakshman Jhula ,4.5,4.3,September to November,2000 - 4000
Rishikesh, 3. Sunset on the Triveni Ghat ,4.3,4.3,September to November,2000 - 4000
Rishikesh, 7. Neelkantha Mahadeva Temple ,3.8,4.3,September to November,2000 - 4000
Rishikesh, 10. Bungee Jumping in Rishikesh ,4.0,4.3,September to November,2000 - 4000
Rishikesh, 12. Camping at Kaudiyala ,3.3,4.3,September to November,2000 - 4000
Rishikesh, 13. Camping in the Kuari Pass ,3.5,4.3,September to November,2000 - 4000
Rishikesh, 15. Geeta Bhawan ,3.6,4.3,September to November,2000 - 4000
Rishikesh, 16. Bharat Mandir ,3.4,4.3,September to November,2000 - 4000
Rishikesh, 18. Jadh Ganga Trek ,3.5,4.3,September to November,2000 - 4000
Rishikesh, 23. Piran Kaliyar Sharif ,3.5,4.3,September to November,2000 - 4000
Rishikesh, 26. Sivananda Ashram ,3.9,4.3,September to November,2000 - 4000
Alleppey, 1. Houseboats ,4.4,4.5,November to February,2500 - 5000
Alleppey, 3. Alappuzha beach ,4.3,4.5,November to February,2500 - 5000
Alleppey, 4. Ambalapuzha Sree Krishna Temple ,3.4,4.5,November to February,2500 - 5000
Alleppey, 6. Krishnapuram Palace ,3.8,4.5,November to February,2500 - 5000
Alleppey, 9. Vembanad Lake ,3.4,4.5,November to February,2500 - 5000
Alleppey, 10. Backwaters ,4.6,4.5,November to February,2500 - 5000
Alleppey, 11. Nehru Trophy Snake Boat race ,3.3,4.5,November to February,2500 - 5000
Alleppey, 12. Bay Island Driftwood Museum ,3.3,4.5,November to February,2500 - 5000
Alleppey, 17. Pallippuram ,3.3,4.5,November to February,2500 - 5000
Alleppey, 19. Kuttanad ,3.9,4.5,November to February,2500 - 5000
Alleppey, 23. Chettikulangara Devi Temple ,3.8,4.5,November to February,2500 - 5000
Alleppey, 29. Alappuzha Lighthouse ,4.5,4.5,November to February,2500 - 5000
Darjeeling, 1. Darjeeling Himalayan Railway ,4.3,4.3,"March to May, September to November",2500 - 4500
Darjeeling, 2. Tiger Hill ,4.5,4.3,"March to May, September to November",2500 - 4500
Darjeeling, 3. Batasia Loop ,4.3,4.3,"March to May, September to November",2500 - 4500
Darjeeling, 4. Darjeeling Ropeway ,3.2,4.3,"March to May, September to November",2500 - 4500
Darjeeling, 5. Himalayan Mountaineering Institute ,4.3,4.3,"March to May, September to November",2500 - 4500
Darjeeling, 6. Nightingale Park ,3.3,4.3,"March to May, September to November",2500 - 4500
Darjeeling, 7. Rock Garden ,3.3,4.3,"March to May, September to November",2500 - 4500
Darjeeling, 8. Singalila National Park ,3.8,4.3,"March to May, September to November",2500 - 4500
Darjeeling, 9. Japanese Peace Pagoda ,3.6,4.3,"March to May, September to November",2500 - 4500
Darjeeling, 10. Sandakphu Trek ,3.8,4.3,"March to May, September to November",2500 - 4500
Darjeeling, 12. Tea Plantations ,3.1,4.3,"March to May, September to November",2500 - 4500
Darjeeling, 13. City Shopping ,3.0,4.3,"March to May, September to November",2500 - 4500
Darjeeling, 14. Padmaja Naidu Himalayan Zoological Park ,3.8,4.3,"March to May, September to November",2500 - 4500
Darjeeling, 16. Happy Valley Tea Estate ,3.3,4.3,"March to May, September to November",2500 - 4500
Darjeeling, 17. Observatory Hill ,3.3,4.3,"March to May, September to November",2500 - 4500
Darjeeling, 18. Monastries in Darjeeling ,3.3,4.3,"March to May, September to November",2500 - 4500
Darjeeling, 19. Trekking ,3.2,4.3,"March to May, September to November",2500 - 4500
Darjeeling, 20. Ghoom Monastery ,3.2,4.3,"March to May, September to November",2500 - 4500
Darjeeling, 21. Bengal Natural History Museum ,3.1,4.3,"March to May, September to November",2500 - 4500
Nainital, 1. Naini Lake ,4.4,4.3,"March to June, September to November",2500 - 4500
Nainital, 2. Snow View Point ,3.6,4.3,"March to June, September to November",2500 - 4500
Nainital, 3. The Mall Road ,3.6,4.3,"March to June, September to November",2500 - 4500
Nainital, 4. Tiffin Top (Dorothy's Seat) ,4.3,4.3,"March to June, September to November",2500 - 4500
Nainital, 5. Eco Cave Gardens ,3.6,4.3,"March to June, September to November",2500 - 4500
Nainital, 7. Naina Devi Temple ,4.4,4.3,"March to June, September to November",2500 - 4500
Nainital, 9. Naina Peak ,3.3,4.3,"March to June, September to November",2500 - 4500
Nainital, 10. Neem Karoli Baba Ashram ,3.2,4.3,"March to June, September to November",2500 - 4500
Nainital, 11. Land's End ,3.3,4.3,"March to June, September to November",2500 - 4500
Nainital, 12. Bhimtal ,4.3,4.3,"March to June, September to November",2500 - 4500
Nainital, 14. Governor's House ,3.3,4.3,"March to June, September to November",2500 - 4500
